date,exp_name,nultipier,changepoint,region_1,region_2,region_3,region_4,region_5,region_6,region_7,region_8,region_9,region_10,region_11
6/28/2020,20201013_IL_mr_v2_moreSamples_restorefit,,,0.101,0.150,0.171,0.140,0.150,0.120,0.115,0.108,0.121,0.113,0.112
6/29/2020,20201013_IL_mr_v2_moreSamples_restorefit,,,0.101,0.150,0.171,0.140,0.150,0.120,0.115,0.108,0.121,0.113,0.112
6/30/2020,20201013_IL_mr_v2_moreSamples_restorefit,,,0.101,0.150,0.171,0.140,0.150,0.120,0.115,0.108,0.121,0.113,0.112
7/1/2020,20201013_IL_mr_v2_moreSamples_restorefit,,,0.101,0.150,0.171,0.140,0.150,0.120,0.115,0.108,0.121,0.113,0.112
7/2/2020,20201013_IL_mr_v2_moreSamples_restorefit,,,0.101,0.150,0.171,0.140,0.150,0.120,0.115,0.108,0.121,0.113,0.112
7/3/2020,20201013_IL_mr_v2_moreSamples_restorefit,,,0.101,0.150,0.171,0.140,0.150,0.120,0.115,0.108,0.121,0.113,0.112
7/4/2020,20201013_IL_mr_v2_moreSamples_restorefit,,,0.101,0.150,0.171,0.140,0.150,0.120,0.115,0.108,0.121,0.113,0.112
7/5/2020,20201013_IL_mr_v2_moreSamples_restorefit,,,0.101,0.150,0.171,0.140,0.150,0.120,0.115,0.108,0.121,0.113,0.112
7/6/2020,20201013_IL_mr_v2_moreSamples_restorefit,,,0.101,0.150,0.171,0.140,0.150,0.120,0.115,0.108,0.121,0.113,0.112
7/7/2020,20201013_IL_mr_v2_moreSamples_restorefit,,,0.101,0.150,0.171,0.140,0.150,0.120,0.115,0.108,0.121,0.113,0.112
7/8/2020,20201013_IL_mr_v2_moreSamples_restorefit,,,0.101,0.150,0.171,0.140,0.150,0.120,0.115,0.108,0.121,0.113,0.112
7/9/2020,20201013_IL_mr_v2_moreSamples_restorefit,,,0.101,0.150,0.171,0.140,0.150,0.120,0.115,0.108,0.121,0.113,0.112
7/10/2020,20201013_IL_mr_v2_moreSamples_restorefit,,,0.101,0.150,0.171,0.140,0.150,0.120,0.115,0.108,0.121,0.113,0.112
7/11/2020,20201013_IL_mr_v2_moreSamples_restorefit,,,0.101,0.150,0.171,0.140,0.150,0.120,0.115,0.108,0.121,0.113,0.112
7/12/2020,20201013_IL_mr_v2_moreSamples_restorefit,,,0.101,0.150,0.171,0.140,0.150,0.120,0.115,0.108,0.121,0.113,0.112
7/13/2020,20201013_IL_mr_v2_moreSamples_restorefit,,,0.101,0.150,0.171,0.140,0.150,0.120,0.115,0.108,0.121,0.113,0.112
7/14/2020,20201013_IL_mr_v2_moreSamples_restorefit,,,0.101,0.150,0.171,0.140,0.150,0.120,0.115,0.108,0.121,0.113,0.112
7/15/2020,20201013_IL_mr_v2_moreSamples_restorefit,,,0.101,0.150,0.171,0.140,0.150,0.120,0.115,0.108,0.121,0.113,0.112
7/16/2020,20201013_IL_mr_v2_moreSamples_restorefit,,,0.101,0.150,0.171,0.140,0.150,0.120,0.115,0.108,0.121,0.113,0.112
7/17/2020,20201013_IL_mr_v2_moreSamples_restorefit,,,0.101,0.150,0.171,0.140,0.150,0.120,0.115,0.108,0.121,0.113,0.112
7/18/2020,20201013_IL_mr_v2_moreSamples_restorefit,,,0.101,0.150,0.171,0.140,0.150,0.120,0.115,0.108,0.121,0.113,0.112
7/19/2020,20201013_IL_mr_v2_moreSamples_restorefit,,,0.101,0.150,0.171,0.140,0.150,0.120,0.115,0.108,0.121,0.113,0.112
7/20/2020,20201013_IL_mr_v2_moreSamples_restorefit,,,0.101,0.150,0.171,0.140,0.150,0.120,0.115,0.108,0.121,0.113,0.112
7/21/2020,20201013_IL_mr_v2_moreSamples_restorefit,,,0.101,0.150,0.171,0.140,0.150,0.120,0.115,0.108,0.121,0.113,0.112
